timestamp,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bg_x,bg_y,bg_z,P_trace
1631512917.448492,0.0005,0.0005,-0.0008,0.0108,0.0126,-0.0183,149.14,-79.21,-143.14,0.006781,0.028973,0.027904,0.011727
1631512917.531322,0.0024,0.0027,-0.0042,0.0245,0.0274,-0.0453,148.73,-78.87,-142.62,0.006781,0.028973,0.027904,0.025939
1631512917.640234,0.0056,0.0062,-0.0104,0.0345,0.0366,-0.0701,148.20,-78.50,-142.25,0.006781,0.028973,0.027904,0.041126
1631512917.746526,0.0088,0.0096,-0.0174,0.0390,0.0398,-0.0894,147.65,-78.24,-142.04,0.006781,0.028973,0.027904,0.055107
1631512917.834686,0.0130,0.0139,-0.0285,0.0362,0.0375,-0.1126,146.88,-78.02,-141.56,0.006781,0.028973,0.027904,0.074808
1631512917.944452,0.0168,0.0177,-0.0422,0.0336,0.0312,-0.1373,146.13,-77.93,-140.78,0.006781,0.028973,0.027904,0.097668
1631512918.054050,0.0197,0.0202,-0.0548,0.0326,0.0268,-0.1579,145.72,-77.96,-140.27,0.006781,0.028973,0.027904,0.118308
1631512918.139964,0.0229,0.0226,-0.0727,0.0284,0.0203,-0.1834,145.85,-78.09,-140.32,0.006781,0.028973,0.027904,0.147306
1631512918.244584,0.0253,0.0241,-0.0911,0.0223,0.0107,-0.2033,146.52,-78.23,-140.91,0.006781,0.028973,0.027904,0.177953
1631512918.339505,0.0272,0.0247,-0.1144,0.0122,-0.0006,-0.2268,147.47,-78.40,-141.77,0.006781,0.028973,0.027904,0.218865
1631512918.447994,0.0277,0.0240,-0.1370,-0.0025,-0.0142,-0.2496,148.10,-78.47,-142.34,0.006781,0.028973,0.027904,0.260665
1631512918.543077,0.0269,0.0221,-0.1602,-0.0156,-0.0293,-0.2715,148.55,-78.48,-142.71,0.006781,0.028973,0.027904,0.305584
1631512918.632104,0.0246,0.0185,-0.1869,-0.0332,-0.0460,-0.2945,149.14,-78.52,-143.15,0.006781,0.028973,0.027904,0.360006
1631512918.726270,0.0187,0.0111,-0.2254,-0.0620,-0.0763,-0.3271,150.03,-78.74,-143.81,0.006781,0.028973,0.027904,0.444141
1631512918.850497,0.0129,0.0038,-0.2537,-0.0769,-0.0963,-0.3495,150.50,-79.03,-144.28,0.006781,0.028973,0.027904,0.509757
1631512918.934115,0.0042,-0.0071,-0.2899,-0.0995,-0.1245,-0.3771,150.88,-79.36,-144.95,0.006781,0.028973,0.027904,0.598545
1631512919.033688,-0.0080,-0.0222,-0.3311,-0.1336,-0.1646,-0.4075,150.76,-79.57,-145.16,0.006781,0.028973,0.027904,0.706411
1631512919.138867,-0.0235,-0.0414,-0.3747,-0.1675,-0.2071,-0.4397,149.82,-79.65,-144.28,0.006781,0.028973,0.027904,0.827751
1631512919.241873,-0.0411,-0.0633,-0.4191,-0.1936,-0.2432,-0.4743,148.59,-79.41,-143.13,0.006781,0.028973,0.027904,0.957948
1631512919.338979,-0.0633,-0.0914,-0.4713,-0.2255,-0.2884,-0.5097,147.28,-78.80,-142.05,0.006781,0.028973,0.027904,1.120066
1631512919.445046,-0.0907,-0.1268,-0.5305,-0.2631,-0.3428,-0.5422,146.01,-77.94,-140.90,0.006781,0.028973,0.027904,1.317474
1631512919.557445,-0.1144,-0.1579,-0.5778,-0.2904,-0.3822,-0.5639,145.17,-77.23,-140.02,0.006781,0.028973,0.027904,1.487501
1631512919.643065,-0.1449,-0.1983,-0.6355,-0.3206,-0.4265,-0.5909,144.47,-76.42,-139.30,0.006781,0.028973,0.027904,1.709362
1631512919.742979,-0.1769,-0.2408,-0.6926,-0.3562,-0.4726,-0.6162,144.16,-75.63,-139.13,0.006781,0.028973,0.027904,1.945345
1631512919.837661,-0.2209,-0.2990,-0.7654,-0.4087,-0.5402,-0.6462,144.13,-74.72,-139.19,0.006781,0.028973,0.027904,2.270307
1631512919.952965,-0.2722,-0.3666,-0.8429,-0.4667,-0.6119,-0.6767,144.47,-73.88,-139.46,0.006781,0.028973,0.027904,2.647275
1631512920.070127,-0.3076,-0.4129,-0.8930,-0.5033,-0.6584,-0.6947,144.82,-73.43,-139.81,0.006781,0.028973,0.027904,2.908550
1631512920.143121,-0.3625,-0.4849,-0.9665,-0.5537,-0.7275,-0.7196,145.29,-72.97,-140.36,0.006781,0.028973,0.027904,3.318646
1631512920.247028,-0.4174,-0.5574,-1.0361,-0.5999,-0.7942,-0.7414,145.59,-72.77,-140.67,0.006781,0.028973,0.027904,3.737659
1631512920.342325,-0.4889,-0.6522,-1.1219,-0.6594,-0.8763,-0.7701,145.67,-72.67,-140.68,0.006781,0.028973,0.027904,4.295305
1631512920.455886,-0.5484,-0.7312,-1.1899,-0.7118,-0.9432,-0.7966,145.65,-72.50,-140.60,0.006781,0.028973,0.027904,4.768294
