#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2] 
1631512917.3348241,0.040479,0.010353,0.010676,9.385000,1.070000,-1.719000
1631512917.4047472,0.022981,0.006043,0.005203,9.361000,1.043000,-1.652000
1631512917.4977262,0.032970,-0.003741,-0.010791,9.392000,1.047000,-1.681000
1631512917.5937595,0.019562,-0.012185,-0.015577,9.325000,1.067000,-1.702000
1631512917.7061603,-0.044238,-0.020098,-0.013314,9.382000,1.054000,-1.705000
1631512917.7911787,-0.068007,-0.005898,-0.003758,9.376000,1.062000,-1.689000
1631512917.9037447,-0.021941,0.016928,-0.004714,9.409000,1.044000,-1.603000
1631512918.0049932,0.022814,0.039479,0.000811,9.369000,1.053000,-1.655000
1631512918.1075537,0.024958,0.048326,0.018667,9.362000,1.079000,-1.630000
1631512918.2033570,0.019343,0.044437,0.056764,9.375000,1.050000,-1.572000
1631512918.3067904,0.024649,0.034372,0.064177,9.443000,0.970000,-1.557000
1631512918.4061186,0.023853,0.037514,0.067251,9.403000,0.958000,-1.508000
1631512918.5061831,0.018407,0.024885,0.045073,9.422000,0.861000,-1.430000
1631512918.5981722,0.027173,0.021608,0.038607,9.405000,0.844000,-1.486000
1631512918.6847005,0.040047,0.027695,0.048322,9.431000,0.825000,-1.405000
1631512918.8094893,0.042011,0.063417,0.069221,9.414000,0.669000,-1.349000
1631512918.8909669,-0.001601,0.074993,0.076039,9.415000,0.701000,-1.412000
1631512918.9968059,-0.064509,0.064303,0.074481,9.434000,0.569000,-1.241000
1631512919.0980318,-0.037119,0.051159,0.035257,9.453000,0.459000,-1.113000
1631512919.2047818,0.013793,0.055867,-0.004315,9.416000,0.481000,-1.135000
1631512919.2963967,-0.024352,-0.010770,-0.037521,9.351000,0.566000,-1.193000
1631512919.4074640,-0.039364,-0.056399,-0.064572,9.426000,0.558000,-1.179000
1631512919.5269380,0.005683,-0.070201,-0.087006,9.445000,0.668000,-1.295000
1631512919.6075904,0.017160,-0.066824,-0.084840,9.444000,0.787000,-1.382000
1631512919.7002630,0.001358,-0.072124,-0.072688,9.380000,0.886000,-1.487000
1631512919.7801890,-0.027153,-0.089134,-0.061714,9.405000,0.912000,-1.470000
1631512919.9109826,0.007374,-0.080206,-0.044605,9.419000,0.902000,-1.516000
1631512920.0302255,0.026002,-0.078390,-0.030495,9.383000,1.006000,-1.629000
1631512920.1001492,0.006158,-0.071341,-0.011834,9.399000,0.983000,-1.678000
1631512920.2167494,-0.007641,-0.031566,0.019944,9.380000,0.988000,-1.827000
1631512920.3001370,0.013072,0.001549,0.022055,9.401000,0.955000,-1.806000
1631512920.4247375,0.022827,0.028981,0.016976,9.357000,0.943000,-1.780000
1631512920.4957018,0.015564,-0.005178,0.000991,9.350000,0.905000,-1.693000
1631512920.5994747,0.038900,-0.074861,-0.035813,9.365000,0.872000,-1.630000
1631512920.7071016,0.053778,-0.078281,-0.047129,9.336000,0.948000,-1.765000
1631512920.8060055,0.008625,-0.060249,-0.033570,9.339000,1.026000,-1.918000
1631512920.9064891,-0.012210,-0.047465,-0.023288,9.335000,1.032000,-1.889000
1631512920.9902022,-0.021450,-0.033484,-0.013992,9.292000,1.080000,-1.959000
1631512921.0918949,-0.034216,-0.030490,-0.005930,9.289000,1.103000,-2.005000
1631512921.2153139,-0.073806,-0.035699,0.011415,9.299000,1.168000,-2.138000
1631512921.2989223,-0.111365,-0.027314,0.023844,9.297000,1.098000,-2.095000
1631512921.3968959,-0.114220,-0.016516,0.025804,9.316000,1.035000,-2.026000
1631512921.4960785,-0.054853,0.025126,0.013267,9.322000,0.999000,-1.985000
1631512921.6010549,-0.022703,0.075482,0.013970,9.341000,1.063000,-2.031000
1631512921.6930654,-0.011913,0.100892,0.011257,9.323000,1.071000,-1.900000
1631512921.8077271,-0.000060,0.119017,0.012129,9.359000,1.074000,-1.832000
1631512921.9093211,0.015132,0.110434,0.006472,9.331000,1.035000,-1.667000
1631512922.0240374,0.019277,0.088305,0.005582,9.310000,1.046000,-1.640000
1631512922.0943758,0.002202,0.055543,0.004617,9.339000,1.047000,-1.568000
1631512922.2062476,-0.001935,0.007087,-0.002853,9.312000,1.010000,-1.454000
1631512922.2945452,0.012252,-0.019681,-0.005690,9.365000,0.990000,-1.461000
1631512922.4058845,0.025617,-0.042297,0.002912,9.333000,1.035000,-1.561000
1631512922.4973428,0.012510,-0.043532,0.022962,9.383000,1.041000,-1.642000
1631512922.5943098,0.019591,-0.028490,0.044716,9.335000,0.928000,-1.618000
1631512922.6965768,0.044687,-0.038896,0.046846,9.354000,0.904000,-1.622000
1631512922.8203239,0.060244,-0.070324,0.036277,9.321000,0.907000,-1.740000
1631512922.9048007,0.071257,-0.084608,0.022473,9.374000,0.845000,-1.793000
1631512922.9886377,0.076573,-0.081170,0.010405,9.399000,0.825000,-1.835000
1631512923.1151493,0.072983,-0.055935,-0.011515,9.328000,0.801000,-2.004000
1631512923.2270989,0.058665,-0.055915,-0.038516,9.314000,0.816000,-2.034000
1631512923.3065948,0.051171,-0.058694,-0.057554,9.305000,0.859000,-2.100000
1631512923.3928189,0.037828,-0.039973,-0.050054,9.356000,0.904000,-1.955000
1631512923.5060608,0.059142,0.000259,-0.022920,9.325000,0.949000,-1.963000
1631512923.6071503,0.032235,0.001906,-0.011715,9.298000,0.927000,-2.043000
1631512923.6972325,0.003309,-0.008505,-0.015948,9.278000,0.984000,-2.171000
1631512923.7981098,-0.006481,-0.016294,-0.021640,9.300000,0.971000,-2.180000
1631512923.8890762,0.011065,-0.009165,-0.017329,9.304000,0.964000,-2.221000
1631512924.0005639,0.039254,0.008267,-0.018957,9.298000,0.949000,-2.182000
1631512924.0904081,0.045147,0.013129,-0.031429,9.301000,1.002000,-2.192000
1631512924.1883383,0.039345,0.043397,-0.032318,9.278000,1.001000,-2.190000
1631512924.3056855,0.019352,0.078254,-0.031783,9.284000,1.051000,-2.138000
1631512924.4134564,0.005656,0.089980,-0.024201,9.295000,1.088000,-1.990000
1631512924.5036774,0.005689,0.080762,-0.005422,9.324000,1.068000,-1.854000
1631512924.6064487,0.019465,0.069049,0.012881,9.361000,1.066000,-1.823000
1631512924.6863146,0.021544,0.055434,0.027503,9.330000,1.048000,-1.782000
1631512924.8344924,-0.008600,0.000000,0.052227,9.339000,0.979000,-1.781000
1631512924.9977124,0.037194,-0.099399,0.077787,9.279000,0.847000,-1.861000
1631512925.0968401,0.024551,-0.139877,0.078761,9.286000,0.792000,-1.977000
1631512925.1919930,-0.024722,-0.159833,0.032380,9.345000,0.733000,-2.185000
1631512925.3039751,-0.052706,-0.042601,0.010923,9.434000,0.713000,-2.272000
1631512925.4095085,-0.014053,0.054668,0.005118,9.364000,0.675000,-2.166000
1631512925.5075030,0.018082,0.081531,-0.011007,9.338000,0.691000,-2.129000
1631512925.5874841,0.031634,0.080184,-0.020723,9.289000,0.736000,-2.030000
1631512925.7075098,0.038480,0.074726,-0.022141,9.337000,0.783000,-1.994000
1631512925.7916598,0.027805,0.091104,-0.014013,9.361000,0.760000,-1.916000
1631512925.9061058,0.064923,0.117472,0.003565,9.326000,0.765000,-1.677000
1631512926.0039442,0.019128,0.063848,-0.010435,9.310000,0.814000,-1.727000
1631512926.1257138,-0.039160,-0.003012,0.000108,9.333000,0.817000,-1.763000
1631512926.2056098,-0.036934,-0.023982,0.003981,9.408000,0.749000,-1.692000
1631512926.2974360,0.011525,-0.010244,0.005167,9.426000,0.759000,-1.694000
1631512926.3968830,0.032665,0.036790,0.021377,9.403000,0.783000,-1.716000
1631512926.5238259,0.007536,0.040952,0.004230,9.316000,0.825000,-1.703000
1631512926.5959401,0.003956,0.023618,-0.015188,9.377000,0.778000,-1.683000
1631512926.6878271,0.013218,0.050910,-0.020350,9.437000,0.744000,-1.616000
